gid,team,b_r,p_r,date,number,vishome,opp,win,loss,tie,gametype
SEA201004120,OAK,4,0,20100412,0,v,SEA,1,0,0,regular
SEA201004120,SEA,0,4,20100412,0,h,OAK,0,1,0,regular
SFN201004120,PIT,3,9,20100412,0,v,SFN,0,1,0,regular
SFN201004120,SFN,9,3,20100412,0,h,PIT,1,0,0,regular
SLN201004120,HOU,0,5,20100412,0,v,SLN,0,1,0,regular
SLN201004120,SLN,5,0,20100412,0,h,HOU,1,0,0,regular
TOR201004120,CHA,8,7,20100412,0,v,TOR,1,0,0,regular
TOR201004120,TOR,7,8,20100412,0,h,CHA,0,1,0,regular
BAL201004130,TBA,8,6,20100413,0,v,BAL,1,0,0,regular
BAL201004130,BAL,6,8,20100413,0,h,TBA,0,1,0,regular
COL201004130,NYN,3,11,20100413,0,v,COL,0,1,0,regular
COL201004130,COL,11,3,20100413,0,h,NYN,1,0,0,regular
DET201004130,KCA,5,6,20100413,0,v,DET,0,1,0,regular
DET201004130,DET,6,5,20100413,0,h,KCA,1,0,0,regular
FLO201004130,CIN,10,8,20100413,0,v,FLO,1,0,0,regular
FLO201004130,FLO,8,10,20100413,0,h,CIN,0,1,0,regular
LAN201004130,ARI,5,9,20100413,0,v,LAN,0,1,0,regular
LAN201004130,LAN,9,5,20100413,0,h,ARI,1,0,0,regular
NYA201004130,ANA,5,7,20100413,0,v,NYA,0,1,0,regular
NYA201004130,NYA,7,5,20100413,0,h,ANA,1,0,0,regular
SEA201004130,OAK,0,3,20100413,0,v,SEA,0,1,0,regular
SEA201004130,SEA,3,0,20100413,0,h,OAK,1,0,0,regular
SFN201004130,PIT,6,5,20100413,0,v,SFN,1,0,0,regular
SFN201004130,SFN,5,6,20100413,0,h,PIT,0,1,0,regular
TOR201004130,CHA,2,4,20100413,0,v,TOR,0,1,0,regular
TOR201004130,TOR,4,2,20100413,0,h,CHA,1,0,0,regular
BAL201004140,TBA,9,1,20100414,0,v,BAL,1,0,0,regular
BAL201004140,BAL,1,9,20100414,0,h,TBA,0,1,0,regular
CHN201004140,MIL,6,7,20100414,0,v,CHN,0,1,0,regular
CHN201004140,CHN,7,6,20100414,0,h,MIL,1,0,0,regular
CLE201004140,TEX,6,2,20100414,0,v,CLE,1,0,0,regular
CLE201004140,CLE,2,6,20100414,0,h,TEX,0,1,0,regular
COL201004140,NYN,5,6,20100414,0,v,COL,0,1,0,regular
COL201004140,COL,6,5,20100414,0,h,NYN,1,0,0,regular
DET201004140,KCA,7,3,20100414,0,v,DET,1,0,0,regular
DET201004140,DET,3,7,20100414,0,h,KCA,0,1,0,regular
FLO201004140,CIN,3,5,20100414,0,v,FLO,0,1,0,regular
FLO201004140,FLO,5,3,20100414,0,h,CIN,1,0,0,regular
LAN201004140,ARI,9,7,20100414,0,v,LAN,1,0,0,regular
LAN201004140,LAN,7,9,20100414,0,h,ARI,0,1,0,regular
MIN201004140,BOS,6,3,20100414,0,v,MIN,1,0,0,regular
MIN201004140,MIN,3,6,20100414,0,h,BOS,0,1,0,regular
NYA201004140,ANA,5,3,20100414,0,v,NYA,1,0,0,regular
NYA201004140,NYA,3,5,20100414,0,h,ANA,0,1,0,regular
PHI201004140,WAS,7,14,20100414,0,v,PHI,0,1,0,regular
PHI201004140,PHI,14,7,20100414,0,h,WAS,1,0,0,regular
SDN201004140,ATL,6,1,20100414,0,v,SDN,1,0,0,regular
SDN201004140,SDN,1,6,20100414,0,h,ATL,0,1,0,regular
SEA201004140,OAK,2,4,20100414,0,v,SEA,0,1,0,regular
SEA201004140,SEA,4,2,20100414,0,h,OAK,1,0,0,regular
SFN201004140,PIT,0,6,20100414,0,v,SFN,0,1,0,regular
SFN201004140,SFN,6,0,20100414,0,h,PIT,1,0,0,regular
SLN201004140,HOU,1,2,20100414,0,v,SLN,0,1,0,regular
SLN201004140,SLN,2,1,20100414,0,h,HOU,1,0,0,regular
TOR201004140,CHA,11,1,20100414,0,v,TOR,1,0,0,regular
TOR201004140,TOR,1,11,20100414,0,h,CHA,0,1,0,regular
CHN201004150,MIL,8,6,20100415,0,v,CHN,1,0,0,regular
CHN201004150,CHN,6,8,20100415,0,h,MIL,0,1,0,regular
CLE201004150,TEX,2,3,20100415,0,v,CLE,0,1,0,regular
CLE201004150,CLE,3,2,20100415,0,h,TEX,1,0,0,regular
COL201004150,NYN,5,0,20100415,0,v,COL,1,0,0,regular
COL201004150,COL,0,5,20100415,0,h,NYN,0,1,0,regular
FLO201004150,CIN,2,10,20100415,0,v,FLO,0,1,0,regular
FLO201004150,FLO,10,2,20100415,0,h,CIN,1,0,0,regular
LAN201004150,ARI,5,6,20100415,0,v,LAN,0,1,0,regular
LAN201004150,LAN,6,5,20100415,0,h,ARI,1,0,0,regular
MIN201004150,BOS,0,8,20100415,0,v,MIN,0,1,0,regular
MIN201004150,MIN,8,0,20100415,0,h,BOS,1,0,0,regular
NYA201004150,ANA,2,6,20100415,0,v,NYA,0,1,0,regular
NYA201004150,NYA,6,2,20100415,0,h,ANA,1,0,0,regular
OAK201004150,BAL,2,6,20100415,0,v,OAK,0,1,0,regular
OAK201004150,OAK,6,2,20100415,0,h,BAL,1,0,0,regular
PHI201004150,WAS,7,5,20100415,0,v,PHI,1,0,0,regular
PHI201004150,PHI,5,7,20100415,0,h,WAS,0,1,0,regular
SDN201004150,ATL,6,2,20100415,0,v,SDN,1,0,0,regular
SDN201004150,SDN,2,6,20100415,0,h,ATL,0,1,0,regular
SLN201004150,HOU,5,1,20100415,0,v,SLN,1,0,0,regular
SLN201004150,SLN,1,5,20100415,0,h,HOU,0,1,0,regular
TOR201004150,CHA,3,7,20100415,0,v,TOR,0,1,0,regular
TOR201004150,TOR,7,3,20100415,0,h,CHA,1,0,0,regular
ATL201004160,COL,5,9,20100416,0,v,ATL,0,1,0,regular
ATL201004160,ATL,9,5,20100416,0,h,COL,1,0,0,regular
BOS201004160,TBA,3,1,20100416,0,v,BOS,1,0,0,regular
BOS201004160,BOS,1,3,20100416,0,h,TBA,0,1,0,regular
CHN201004160,HOU,2,7,20100416,0,v,CHN,0,1,0,regular
CHN201004160,CHN,7,2,20100416,0,h,HOU,1,0,0,regular
CLE201004160,CHA,2,6,20100416,0,v,CLE,0,1,0,regular
CLE201004160,CLE,6,2,20100416,0,h,CHA,1,0,0,regular
LAN201004160,SFN,8,10,20100416,0,v,LAN,0,1,0,regular
LAN201004160,LAN,10,8,20100416,0,h,SFN,1,0,0,regular
MIN201004160,KCA,3,10,20100416,0,v,MIN,0,1,0,regular
MIN201004160,MIN,10,3,20100416,0,h,KCA,1,0,0,regular
NYA201004160,TEX,1,5,20100416,0,v,NYA,0,1,0,regular
NYA201004160,NYA,5,1,20100416,0,h,TEX,1,0,0,regular
OAK201004160,BAL,2,4,20100416,0,v,OAK,0,1,0,regular
